10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
981400;5800;15400;60100;23300;23300;36500;44800;113500;5900
9400;23200;31000;59500;82900;34900;102500;45600;139200;4500
10700;17300;33600;38900;10700;21400;86100;60800;145600;165100
11000;20900;26400;51300;177400;95100;104700;124500;132300;96800
11000;19200;33300;47500;72500;69100;113000;127800;154100;144900
12000;21900;34100;57500;52100;86300;113100;115800;153700;116000
11300;23500;38700;45800;51000;92300;110000;29400;92900;175600
13400;18800;31200;40800;50400;76800;97900;85500;261000;208600
18900;31500;52600;49200;51300;92700;112600;130100;78500;162000
12200;22800;43700;44500;145300;64600;243900;259700;161800;168300
12500;25000;67100;67100;51300;14600;113900;78400;206600;171600
12100;22600;45900;82200;81500;171400;69200;132700;210400;168200
12200;18700;41400;41600;44600;63800;115000;130400;340200;170900
10900;22700;33700;60600;51800;79500;96500;98900;157400;182300
12300;21400;31300;44100;49200;63000;70000;121000;157700;149800
10600;19300;39800;50600;68400;96500;110500;173000;176100;171900
16000;24800;38800;42400;51300;92600;77700;85900;94000;170200
12500;23100;33200;38600;61300;68200;76000;25800;139900;99300
11900;20900;32500;38500;71800;93200;103800;125300;100700;164300
10500;19200;36500;41000;70400;61500;117300;108700;127300;167700
12500;21500;28600;41400;63900;86000;104400;123900;144800;160300
13000;19600;29800;65000;57400;60800;111000;78200;155700;163000
11100;19200;33700;40900;68400;68400;80200;132400;100600;168100
12300;22300;33100;41400;73400;92500;72100;117900;134300;166200
11700;20400;31800;48600;71200;87600;110300;119900;139100;157900
10800;21400;31800;54300;53300;80700;97000;123900;153600;162700
13900;21800;5200;41700;62600;84900;105700;122100;144400;167500
12300;20300;31900;53800;51600;90300;110700;78000;147400;174200
12200;23100;31600;37700;56700;63500;106200;110900;140800;112900
11800;22500;30600;39000;74900;68800;98100;79400;95300;146000
10800;22000;32100;38900;51700;65500;67200;127000;149100;102100
12300;20900;30400;46200;57800;72400;112700;84300;145700;163400
12100;20200;30100;40800;72100;76100;104100;130300;142100;168300
11500;19500;30700;40300;73900;78800;102500;83400;111800;109400
13000;22300;34200;54700;88900;107600;87100;128900;13000;173500
10300;31700;48000;44200;62800;80500;107400;131900;135300;117200
11000;20900;30600;41300;58700;91000;105900;140000;102500;152800
12200;20200;34800;38800;55500;85300;71800;113800;151000;123400
15000;21900;32100;44200;54600;61300;99200;120300;145300;160500
11700;23000;32000;41700;54500;63300;108600;141700;146700;97800
13000;21800;35300;54500;58600;81600;106200;83400;113700;158100
11700;21400;34500;53300;52000;66200;100400;99100;159600;156400
12100;25400;52300;54200;54200;70600;104700;124000;133700;135700
13800;21800;34800;50200;53200;59000;88600;81500;145500;99100
9200;20200;37600;43500;72100;66800;68400;137700;140300;138400
10300;23100;34800;46700;51500;91000;112800;125700;139200;149600
11800;19800;30600;46600;52100;95700;111500;128300;101300;156100
13500;19300;42300;43900;74100;89800;73100;86200;157200;144800
13100;19400;34300;60400;52500;60800;105900;122300;137100;164900
12200;20900;49500;56900;51200;93100;99900;85100;146500;117900
11600;22100;33200;51000;66700;75300;107900;128500;105000;161200
11400;22600;34100;44600;77900;88100;108600;127300;149700;134100
10800;23700;40700;41400;70900;70000;99200;133600;104700;164200
10400;20600;37800;40500;53100;81600;80700;120500;137200;122100
12200;23100;31600;45400;54400;60200;99600;133700;144600;117200
11500;20700;33800;43900;54200;84700;77100;123400;107600;159200
15700;20400;31200;48500;69100;80900;95100;128400;91000;164300
12000;19700;33600;56800;64500;60400;76000;87400;147800;163200
12500;21800;31100;63900;71600;55500;108900;73800;150400;165600
13300;19000;37800;52500;54300;64800;76400;124200;139800;167500
11400;21800;35200;42600;57000;76000;103500;101800;93500;97300
12500;29000;34200;49000;63900;64000;85200;120000;142000;154500
11300;19800;37200;43800;55500;89800;87900;109000;152500;138300
11700;24000;33300;55700;49500;67800;108500;84200;132800;153500
11600;20000;34600;42100;56800;92600;115900;113600;143800;96200
11100;20700;28400;45500;69900;96300;100600;125500;82200;168800
12000;17900;31300;43200;51000;72600;105400;127900;136900;85100
11100;17800;39200;41700;49500;69700;104800;96100;89900;173500
16700;26800;44100;54900;75200;89400;104900;129100;89400;167700
11400;22000;33100;41400;48700;86400;103400;77200;145600;164500
10900;20500;35900;57200;52800;81000;107800;106200;136200;154600
11100;20300;33200;48000;48500;61200;105500;76100;95100;160700
13600;21900;33500;41500;52800;75700;111600;135900;122100;103300
12500;22200;29600;40300;53400;61500;82300;103200;122400;163100
8900;24400;35700;48700;49900;86100;102000;129900;151400;167000
10300;22300;30500;42700;63700;80500;98200;124600;90800;164100
11700;21500;35100;43100;83000;92100;103800;123000;104700;167600
10800;25700;31300;45200;69700;87900;104600;135400;142000;104400
10800;19700;34500;51000;66800;62900;71000;125500;142100;158400
10700;20400;35700;44900;75200;63000;107200;92300;147500;161000
11800;19500;33500;39900;51200;68700;111700;91600;136200;164600
13200;21300;31800;58200;54400;64900;102200;118000;138200;158400
11100;21800;33000;44800;53200;88200;111600;106200;127500;163100
11500;22300;39500;39700;55700;84600;101500;97600;93100;157500
9800;21400;40400;41700;60600;85200;68900;93900;152300;98600
11200;22500;33000;52700;66000;85600;73500;118900;146800;99400
10900;26300;29900;48000;69100;92300;78100;134500;143700;164300
11100;20400;30700;45600;58500;91500;103000;114100;127800;161600
11500;23600;36000;40400;54000;87500;77600;137900;114100;163700
9500;22500;31300;46200;52800;64900;71800;81400;135300;155800
11800;21100;34900;42100;51700;62000;90000;139400;148100;159200
11100;22600;65400;40800;49200;67200;114300;133200;133700;163900
12200;24200;35800;52200;49500;81400;120200;82000;145100;157300
10200;22600;33400;54300;72300;84100;107100;124600;133500;104000
12300;22600;36000;40100;56700;71500;99900;86800;89500;146000
10800;21100;30200;49200;65500;96600;96300;82300;153500;161200
11100;24400;32100;43600;65700;88700;102400;83700;150400;163000
12000;22900;34800;42200;54200;62400;99000;125000;144300;106500
12100;21900;35400;37600;54600;60900;103800;123600;137400;158800
13000;21500;32400;50300;52300;59000;103800;102700;238600;162200
